timestamp,temperature,vibration_rms,rpm,pressure
2026-08-09T00:00:00+00:00,58.37,1.80,1485.00,2.08
2026-08-09T01:00:00+00:00,56.75,2.09,1490.01,2.07
2026-08-09T02:00:00+00:00,58.90,2.35,1475.83,2.15
2026-08-09T03:00:00+00:00,59.13,2.18,1476.52,2.13
2026-08-09T04:00:00+00:00,55.66,1.31,1476.17,2.13
2026-08-09T05:00:00+00:00,56.44,2.09,1486.33,2.13
2026-08-09T06:00:00+00:00,58.15,2.02,1491.99,2.15
2026-08-09T07:00:00+00:00,57.62,2.12,1476.33,1.93
2026-08-09T08:00:00+00:00,57.98,6.62,1476.60,2.07
2026-08-09T09:00:00+00:00,56.98,1.38,1482.51,1.93
2026-08-09T10:00:00+00:00,59.06,1.82,1478.03,2.10
2026-08-09T11:00:00+00:00,58.93,2.18,1487.62,2.10
2026-08-09T12:00:00+00:00,58.08,1.53,1461.99,2.18
2026-08-09T13:00:00+00:00,59.35,2.44,1473.39,2.20
2026-08-09T14:00:00+00:00,58.56,2.11,1473.74,2.12
2026-08-09T15:00:00+00:00,56.97,2.25,1461.44,2.06
2026-08-09T16:00:00+00:00,58.44,1.83,1472.29,2.14
2026-08-09T17:00:00+00:00,56.85,2.24,1472.68,2.06
2026-08-09T18:00:00+00:00,59.05,2.32,1478.39,2.10
2026-08-09T19:00:00+00:00,57.94,2.07,1488.90,2.18
2026-08-09T20:00:00+00:00,57.78,2.07,1478.04,2.06
2026-08-09T21:00:00+00:00,57.18,2.08,1471.75,2.16
2026-08-09T22:00:00+00:00,59.47,1.74,1479.54,2.15
2026-08-09T23:00:00+00:00,57.81,1.96,1488.39,2.02
2026-08-10T00:00:00+00:00,57.49,1.95,1472.19,2.18
2026-08-10T01:00:00+00:00,57.58,2.12,1472.72,2.16
2026-08-10T02:00:00+00:00,58.64,2.30,1484.47,2.11
2026-08-10T03:00:00+00:00,58.44,1.68,1478.23,2.04
2026-08-10T04:00:00+00:00,58.50,1.96,1485.18,2.03
2026-08-10T05:00:00+00:00,58.52,2.44,1479.89,2.06
2026-08-10T06:00:00+00:00,60.57,1.78,1485.61,2.14
2026-08-10T07:00:00+00:00,57.51,1.75,1471.72,2.02
2026-08-10T08:00:00+00:00,57.39,2.06,1479.90,2.14
2026-08-10T09:00:00+00:00,57.02,2.25,1478.31,2.00
2026-08-10T10:00:00+00:00,58.74,2.00,1470.27,2.08
2026-08-10T11:00:00+00:00,59.35,2.40,1467.49,2.11
2026-08-10T12:00:00+00:00,57.86,2.26,1485.49,2.30
2026-08-10T13:00:00+00:00,56.99,2.25,1477.19,1.99
2026-08-10T14:00:00+00:00,57.01,2.17,1471.82,2.22
2026-08-10T15:00:00+00:00,58.78,2.70,1479.23,2.11
2026-08-10T16:00:00+00:00,58.89,1.94,1489.02,2.13
2026-08-10T17:00:00+00:00,58.65,1.40,1461.75,2.11
2026-08-10T18:00:00+00:00,57.20,2.48,1468.03,2.14
2026-08-10T19:00:00+00:00,58.28,1.86,1472.62,2.09
2026-08-10T20:00:00+00:00,58.14,2.03,1491.69,2.22
2026-08-10T21:00:00+00:00,58.26,2.39,1482.26,2.06
2026-08-10T22:00:00+00:00,59.05,1.52,1486.14,2.19
2026-08-10T23:00:00+00:00,58.27,1.62,1470.88,2.05
2026-08-11T00:00:00+00:00,58.81,1.52,1471.04,2.10
2026-08-11T01:00:00+00:00,58.08,1.76,1483.58,2.01
2026-08-11T02:00:00+00:00,58.35,2.13,1480.47,2.14
2026-08-11T03:00:00+00:00,58.76,2.16,1484.39,2.22
2026-08-11T04:00:00+00:00,56.25,2.08,1478.50,2.09
2026-08-11T05:00:00+00:00,57.62,1.58,1482.23,2.08
2026-08-11T06:00:00+00:00,57.44,1.31,1481.26,2.01
2026-08-11T07:00:00+00:00,57.23,2.02,1486.22,2.08
2026-08-11T08:00:00+00:00,57.67,1.86,1486.46,1.97
2026-08-11T09:00:00+00:00,59.79,2.14,1467.04,2.03
2026-08-11T10:00:00+00:00,56.96,2.21,1462.02,2.12
2026-08-11T11:00:00+00:00,59.16,2.04,1488.01,2.21
2026-08-11T12:00:00+00:00,55.98,2.23,1489.50,2.32
2026-08-11T13:00:00+00:00,57.60,2.07,1471.84,2.05
2026-08-11T14:00:00+00:00,58.20,2.16,1465.12,2.21
2026-08-11T15:00:00+00:00,58.70,1.79,1480.79,2.12
2026-08-11T16:00:00+00:00,58.85,1.95,1487.45,2.09
2026-08-11T17:00:00+00:00,58.95,2.06,1494.38,2.13
2026-08-11T18:00:00+00:00,57.58,2.25,1484.13,2.10
2026-08-11T19:00:00+00:00,57.45,1.88,1477.03,2.11
2026-08-11T20:00:00+00:00,59.03,2.16,1472.85,2.07
2026-08-11T21:00:00+00:00,57.77,1.92,1480.09,1.99
2026-08-11T22:00:00+00:00,56.47,1.96,1477.61,1.98
2026-08-11T23:00:00+00:00,56.64,2.25,1471.88,2.15
2026-08-12T00:00:00+00:00,56.90,1.40,1496.39,2.08
2026-08-12T01:00:00+00:00,58.60,1.61,1494.28,2.05
2026-08-12T02:00:00+00:00,58.17,1.56,1489.09,2.10
2026-08-12T03:00:00+00:00,58.83,1.30,1472.63,2.16
2026-08-12T04:00:00+00:00,57.49,1.80,1486.84,2.11
2026-08-12T05:00:00+00:00,58.19,2.22,1485.12,2.05
2026-08-12T06:00:00+00:00,58.75,1.91,1483.54,2.20
2026-08-12T07:00:00+00:00,57.63,2.06,1490.00,2.23
2026-08-12T08:00:00+00:00,58.55,6.47,1485.08,2.14
2026-08-12T09:00:00+00:00,57.21,2.40,1485.92,2.18
2026-08-12T10:00:00+00:00,57.56,1.98,1485.10,2.20
2026-08-12T11:00:00+00:00,57.54,2.41,1482.73,2.19
2026-08-12T12:00:00+00:00,56.56,2.03,1465.73,2.15
2026-08-12T13:00:00+00:00,58.58,1.75,1480.67,2.15
2026-08-12T14:00:00+00:00,57.44,1.82,1475.55,2.14
2026-08-12T15:00:00+00:00,58.01,1.56,1469.76,2.01
2026-08-12T16:00:00+00:00,58.58,1.73,1493.45,2.16
2026-08-12T17:00:00+00:00,58.54,1.89,1493.83,1.99
2026-08-12T18:00:00+00:00,58.80,2.24,1490.87,2.04
2026-08-12T19:00:00+00:00,57.88,2.52,1482.04,2.20
2026-08-12T20:00:00+00:00,57.49,1.59,1490.81,2.17
2026-08-12T21:00:00+00:00,57.90,2.12,1480.10,2.22
2026-08-12T22:00:00+00:00,55.98,1.69,1481.62,2.08
2026-08-12T23:00:00+00:00,56.26,2.14,1471.25,2.01
2026-08-13T00:00:00+00:00,56.41,1.96,1483.18,2.08
2026-08-13T01:00:00+00:00,56.80,1.45,1480.48,2.11
2026-08-13T02:00:00+00:00,58.48,2.28,1469.58,2.11
2026-08-13T03:00:00+00:00,56.91,5.36,1479.59,2.19
2026-08-13T04:00:00+00:00,57.55,5.12,1479.36,2.07
2026-08-13T05:00:00+00:00,59.56,1.68,1494.38,2.13
2026-08-13T06:00:00+00:00,57.57,1.80,1487.15,2.02
2026-08-13T07:00:00+00:00,58.89,2.13,1480.09,2.14
2026-08-13T08:00:00+00:00,56.88,1.94,1481.99,2.10
2026-08-13T09:00:00+00:00,57.75,2.10,1480.35,2.04
2026-08-13T10:00:00+00:00,56.86,2.11,1478.38,2.08
2026-08-13T11:00:00+00:00,57.59,2.40,1471.34,2.09
2026-08-13T12:00:00+00:00,59.01,1.90,1478.79,2.08
2026-08-13T13:00:00+00:00,55.93,1.56,1474.03,2.24
2026-08-13T14:00:00+00:00,58.52,2.32,1470.00,2.09
2026-08-13T15:00:00+00:00,58.29,1.90,1484.09,2.08
2026-08-13T16:00:00+00:00,57.29,2.33,1483.13,1.93
2026-08-13T17:00:00+00:00,56.26,2.12,1465.71,2.03
2026-08-13T18:00:00+00:00,58.09,1.96,1479.02,2.08
2026-08-13T19:00:00+00:00,57.36,2.10,1487.97,2.05
2026-08-13T20:00:00+00:00,58.28,2.59,1488.47,2.21
2026-08-13T21:00:00+00:00,58.03,2.62,1488.21,2.09
2026-08-13T22:00:00+00:00,59.92,2.02,1480.31,2.20
2026-08-13T23:00:00+00:00,57.71,2.05,1473.24,2.10
2026-08-14T00:00:00+00:00,56.77,2.32,1471.33,2.10
2026-08-14T01:00:00+00:00,58.22,1.75,1482.76,2.09
2026-08-14T02:00:00+00:00,58.26,2.10,1483.03,2.10
2026-08-14T03:00:00+00:00,59.63,1.99,1490.30,2.24
